account,played,winnings,winnings even money,average bet size
0x3a0fb375b2966fdb4042da7aa8c1246b5044e0dd,577,-81.6219472903291,-43.20756898826382,2.183097901846207
0xc9614a943390f2d9428bbc3e4022a2c14e77f768,413,-51.46299387954266,-34.13928096165474,1.1239782082324454
0xfcaf9a5203507c1c2915d86c9a7dbad6368d9e5a,424,-45.05351826604794,-50.90047570660465,0.6715303735173053
0x102c62cd8b881e9c109728d7f68e6efb5a16ca8c,13,-31.034580163800214,-3.7216189306848775,5.581029626356431
0x63844d978799754de7d4e7401e9950ad70f62405,69,-28.128510555840617,-11.649021929330699,1.8510853992037397
0x5dbf4026e72f223d91ed4ab8da72f253b7019c37,317,-24.995199058317464,-14.984744498246235,0.7866299053627759
0xdb81ba8833db6f3659dbd98b9810ce6730c9b434,25,-24.910158305018893,-7.012625764863063,5.784
0xd57051fa3cd71d5607a9650dab726f3313477145,111,-24.33138141320508,-16.376987381543756,1.4864916172919787
0x1e7321a560f0d60e3bb73ac7df59af19e5449236,306,-19.555115796227916,-29.126952762919327,0.9556719226718136
0xe3d89cded7cff330d5dbc2ddc9595fcc4735d3f3,183,-19.004192563151605,-3.3413378989704876,2.720655737704918
0x870ac69be300372f7d41eaf1cad8ba9ab451abfd,14,-18.193713183235108,-4.941909049779854,3.454100563130775
0x51d938dc7f01f6fe3c4f2ac662660fdcb6fb5fce,555,-17.84453086118993,-63.38749319724244,0.26612766213851924
0x15a5521152d6dc1111bd75b97983ff223545a441,22,-16.02278696514305,-5.358048840085264,2.104318181818182
0x0f04f2c50cb9058edbdae8634cb70259b50bf056,230,-15.278339555746303,-8.658576893723728,0.21378260869565194
0xfafa26c36b110166aff6762185f0830c872666ba,4,-13.76,-4,3.44
0x2effb80c03c9e4832695d9d87371e326a9c12376,117,-13.655517341464048,-10.833453713981765,0.7277720537477117
0xb80c33114d7efd2e182ec773a191149b0e17e3e2,580,-13.422397856665675,-56.567662848684385,0.14544966683090682
0x03fa3c74efa84bcc6d787439fa109b627f527068,266,-12.607605702746648,-6.628846615333066,0.38523016190490644
0x2068864747c459ea7836af475551700bd11f33c8,194,-12.118641390446479,-22.608870586906992,0.39025577657768357
0xa6ac9b806162936872a4cc63bea6862c837a75e5,45,-11.954663436535604,0.6830190576936332,1.5350642035761097
0xbb0b90c282c597df83c4ef32e44d911746b1f96a,425,-10.692830770666705,-20.811852371475794,0.38642823529411796
0x3b9e08f02a70a9c3441e9f514579e697b694af2d,17,-10.419912242299478,-8.089828692341463,0.8674560573930212
0xf6751a8f40667a8f80b780bef97d3757cfe7c1b9,66,-9.709788382800047,-5.24419961419283,0.7048374726461016
0x955057521cc64532f5272db23102c3e0f77b3c5b,389,-9.642579852110554,-22.602965712426794,0.1940378631036352
0xd2bed090c8e344e4a6c4414d00861410be7ec02a,626,-9.384344094493754,-72.10392770896927,0.11952162434317107
0xa99f1afd92dc11a204151a08fb3a79e768a59109,77,-9.279147447475417,-11.944351335142276,0.6253246753246753
0x3037ae1aedad5905d665aa28e95b6906d5bccb87,36,-9.1470946166707,-9.349958197607108,0.6386218387300303
0x3d22c2f4734ace0643d680fe777d770fe32d5b3d,13,-9.094662924025336,-6.276854486985116,1.3887865378841062
0x815844ed315cedc91241ba003d4a62e96a6696d6,104,-8.94891396197567,-13.452979969592546,0.7331152329974786
0x0cbaab026e0674ed9a396789fa9e0ebdb7d6ff3f,252,-8.937732851310097,0.01618309619900038,0.6447910771160579
0x09ae05a95454c61123732b438c06257505be1642,2,-8.79244087,-2,4.396220435
0x170034095876ba2cab3e8b88f740eae7febd97a2,5,-8.480266634531858,-3.302666345318592,1.7299999999999998
0xb751eb851729e81523d5c36d12a71fbc4138ba0c,138,-8.30813985343254,-23.180918587749055,0.3160047207095623
0xf5aaf069ea3f2791558ea026df3f7dbc94430f07,49,-8.076477538496166,-0.3758867254290834,0.671908328717908
0x729a0cc55419549283a931ffebf8fc6817293e55,19,-7.894962445376378,-2.5822071117546916,0.8399310246356759
0xf16322e0632a861785a016bb599d1c854aebf799,88,-7.4901586278733046,-9.4101963372597,0.26356225361041896
0xca73a09dba59136922d4ac3dd9f2ba77083d46c6,516,-7.472665012291165,12.155326023274863,0.2083147210692093
0x4886475424ba506ef2ba8c89b729da087a6b6b4a,85,-7.4270350559664635,-7.738732595304885,0.3281582531359942
0x7cab985089c97c4776598217c5aa5f67318e9581,54,-7.261252187945662,-7.538353974265936,1.3477037037037038
0x7338cb3da15133ba4b11902987c63566f9ea144a,281,-7.153051067265052,-23.972907114272335,0.2864768683274013
0x6ffdb0529bd61e1beae637bf88c7b34e20c71f56,261,-7.0942834422360805,12.586958938072751,0.2592739949493949
0xbbccad3d2f88d37a18b652aeeb63f79622786a9e,4,-6.932149630818469,-2.532149630818469,2.1
0x650018f27b62b611ced555d0964dc0677a0714d0,114,-6.6918165286340106,-4.01497182531762,0.36156324828019354
0x63a30b15251b55f60629a9e38920ddcad5c6feae,301,-6.6682264225971615,-25.256512628992407,0.1927864673366545
0x77304e4063b5f715428c2acfbdb3509ae178c369,552,-6.302718203955855,-16.730094352167264,0.09316106869904896
0x87c78753d871f7ff0ef70946ca4494f67fa9c690,31,-6.226951658952356,-2.7998369594391144,0.7649193891199708
0xe91b277430308c58a004f47bc4529725df999dbe,173,-6.214914131086528,-13.250642659931533,0.24553179190751442
0x203f6516249a778da08924695b382fa5cfbe0238,31,-5.9985638624815065,-9.100529215391157,0.5953482221134226
0x03b23bd560ff50ceb7c5ec0d5258f5cebb5f86cd,65,-5.9178696299806735,-12.589364458680596,0.4107424150559063
0xd9f348b253b3cd40ee7a7099fbc4212e4bcefc41,384,-5.910178507436055,-2.504311104945405,0.32811816216719975
0xba6af803fe7aacc65b8db13348a09347acc9e741,430,-5.827519133321865,-22.70452222864539,0.2862217933082568
0xc4433648f9445e9dbb56045198e54e5d83e86773,23,-5.786951795074605,1.8157977713931897,3.9539243660118184
0xf0761466c098022c48378a67af315afac0b8c978,167,-5.75526968577952,-7.437143985527468,0.13547904191616736
0x7558f6bdaf288a2b55f5e8615e65ba16cd484a05,35,-5.667097639035621,-3.7066176358191356,1.3272471428571428
0xeeb2f50b33d1ba0f2f305d78eda6b80416795466,47,-5.62536512288251,-22.654361906249758,0.22827474570878103
0xc8767271ad4cfb1933532c529886c1d8c06f2068,309,-5.613351575395703,-28.996702408550014,0.20629003889580436
0xc1f265e222c5a4b6c8c536f9cc138c648518b6ac,86,-5.4130775421975725,0.2276845347451646,2.931011417991098
0x40180a82565b89fe47bad7374261eb1886a76c41,149,-5.156101264543834,-19.819281750002837,0.16447343421808772
0x20e1b0ec98647ff715f1f4ecabba74abac594ab8,30,-5.062560369900121,-2.83947043426175,0.7925051055748896
0xa172da45d45b0ce6c46ec25dcf866c145f0f0e33,638,-5.0072942025464195,-33.57925979885458,0.11960882980094487
0x7fe5ca68b78402862709af1c359e57b8ae09516d,213,-4.931799391736398,-20.13108110728934,0.1268964937305566
0x1539005d93e79bd7f56d111e6a05fc809e7bcbd4,328,-4.84523223729513,-16.280177681039284,0.2884146341463404
0xc6ce445a3d57417316bd193f5c6ee5f23b484889,82,-4.743878134696401,-10.65220486292003,0.3417282402280752
0x498168e2a178fb586016208e4505f7f724472369,268,-4.738317279016745,-15.923794486777963,0.2858208955223874
0xce604874c666028820ae67c0e090ab0986080c79,77,-4.737581700110842,-8.43342700203394,0.14375777123962355
0x50ecdb393579a49c79364cffaf8e0af79c2bad4c,41,-4.679470470030502,-4.133991333106051,0.5439832782747034
0x1f998395afb6aee9f188ed1a571d1e0ed3563f19,162,-4.653933761081977,-13.852836029811868,0.32486136237747804
0xd70266d4c3caedb0b2d6ae6cc232662ce8759011,123,-4.540755798504137,2.2015531249552485,0.3121389255967488
0x218d1709d17c21c1dd623ed6a7437e07bfa13945,51,-4.533020331836058,5.532730018252044,1.8147058823529412
0xa08c7db9c65cffde56533d49b3608f7d835aeed7,3,-4.53,-3,1.51
0xe1eeb95b9853acf08bf11089651f83a555a5c4e9,4,-4.503079117357226,0.16610794177452748,1.2076606902667826
0x4bf46310fc88a5a9a910081706f84a319d93d56c,16,-4.497601113125707,-14.52514444732244,0.34562499999999996
0x0a165bf67b26611db05b2033d120fbb40146d43d,12,-4.480717152978165,-2.21857183202643,1.4308333333333332
0x8aa20c081ac24ff5c25fa5ecf2cb89d60c48179a,60,-4.400305170129222,-4.601775285704492,1.2039302414583835
0x53799123be264535ec5cdc6f7f2b5c60369d3733,77,-4.353981236270812,-13.946929580791664,0.2560434363734767
0xd7aad072dd3d0f000afe152defdca02fc02bffaa,563,-4.343556540765237,-21.40891580491777,0.26526642984014115
0x4cd83e2602d0270d89093d082e65829c53a190ac,17,-4.19953672412602,-3.548063420706412,0.9456139428692261
0x7e9a10c782bbdd671b953c5716614511516afaff,622,-4.153425686417792,2.2857609880100824,0.042056867777441366
0x34f3d8a5c1bb387f8ed3675c8555277f29607f02,6,-4.080903485122127,-4.427454223664099,0.8033333333333333
0x582dba86431b46a3900a990b159cb579c1f7ead7,58,-4.06660754686824,-7.555423228754132,0.856896551724138
0x5ca081ca2142913db11acb85b97a112c410b10a0,550,-4.062672308036521,-2.129464384137834,0.3259454545454567
0x77dd1decfd78f947914f3d96822cdccbf96098d6,6,-4.039629505618096,-2.679259011236192,0.9500000000000001
0x8b5f17f563cc28825cf7449d57912382ceb62a82,384,-3.9758585563482423,-17.33909549026004,0.22401836003045236
0x3378ed4a69cc97e27954ac4cbfbfe080f332c790,587,-3.9167670509762242,-0.004748478059337202,0.24347096383662153
0x85f46bd3baf6ee94e2397314b700b0944a43d119,514,-3.9108627311152375,-26.932259336889373,0.23999558723374334
0x65f3f0b3c19c54f3fe8dc87e75de087735f98901,51,-3.783617664978674,-18.242922795855172,0.18605169121727377
0xe28e39facac16dee56d80784d89c41bd2a37303e,39,-3.765431144138302,0.5924059392263381,0.9708279174612002
0xf6dcd3c5f549dbfab38459234f16a532ea49e0cf,39,-3.7552385943000526,-4.273158030756955,0.3804595858916654
0x8845180f14356d8866d4b650f16fb2b9019f9d34,240,-3.7123949678055155,-1.986694064250953,0.4001406593368151
0x44b870b327f5be9f1d8fe349161cffad19043978,30,-3.7089963506200783,-6.05250112449993,0.3337355600145166
0x84945d3edc30bc75f8d12c162dacc188b7784a24,502,-3.6947952860340707,-20.52203454990009,0.1252256024746159
0xc351903eba4dc6c40c2e71270edd845888ad667b,27,-3.6762919306935573,-0.3083490345392892,0.3717102891756652
0x0d9d1e26e68292de2718ee77e28c8240bee5709f,253,-3.6659933520547288,-19.794832301188084,0.3740084035857785
0xa41676d88ddecfa20222e8c53304fe2f3a9eea5d,142,-3.6136217611188677,-15.55329290207531,0.15935863181521231
0xd8b53f94144b5bad90b156ecca28422c26c08e6c,613,-3.580476042072923,-13.081749327753233,0.16859526916802617
0xe4fbc5df725c98d57ec8392b9bf3810592b8ecf8,28,-3.5802871534327387,-1.7021390684336692,1.1477795212534154
0x51a5ca27453b55b8d6e216e94da22cb1f7b30dc5,21,-3.579945013698348,-4.019985845031453,0.6850986853895821
0xad4f3065d66a531996215b743e02aea2347c39fa,139,-3.574557077373075,-0.715194062865661,0.3113124144502405
0xfb07bbbaa711bcd7754d52a6cfe63122367b239b,278,-3.56349439205935,-38.971625677363996,0.0749936643734575
0x3c191bfc5bad0b1dfacf41b05de1aad2348bcde0,31,-3.559783258822084,-4.48171409847403,0.8372753433938463
